Experiment,ID,Position,Well,Plate,Gene,Condition,Replica,Channel
A,00001,0001,A01,1,Mock,Control,1,DAPI
A,00002,0001,A01,1,Mock,Control,1,FITC
A,00003,0001,A01,1,Mock,Control,1,TRTC
A,00004,0001,A01,1,Mock,Control,2,DAPI
A,00005,0001,A01,1,Mock,Control,2,FITC
A,00006,0001,A01,1,Mock,Control,2,TRTC
A,00007,0002,A02,1,Mock,Control,1,DAPI
A,00008,0002,A02,1,Mock,Control,1,FITC
A,00009,0002,A02,1,Mock,Control,1,TRTC
A,00010,0002,A02,1,Mock,Control,2,DAPI
A,00011,0002,A02,1,Mock,Control,2,FITC
A,00012,0002,A02,1,Mock,Control,2,TRTC
A,00013,0003,A03,1,siCON_pool,Control,1,DAPI
A,00014,0003,A03,1,siCON_pool,Control,1,FITC
A,00015,0003,A03,1,siCON_pool,Control,1,TRTC
A,00016,0003,A03,1,siCON_pool,Control,2,DAPI
A,00017,0003,A03,1,siCON_pool,Control,2,FITC
A,00018,0003,A03,1,siCON_pool,Control,2,TRTC
A,00019,0004,A04,1,siCON_pool,Control,1,DAPI
A,00020,0004,A04,1,siCON_pool,Control,1,FITC
A,00021,0004,A04,1,siCON_pool,Control,1,TRTC
A,00022,0004,A04,1,siCON_pool,Control,2,DAPI
A,00023,0004,A04,1,siCON_pool,Control,2,FITC
A,00024,0004,A04,1,siCON_pool,Control,2,TRTC
A,00025,0005,A05,1,ABI1,Sample,1,DAPI
A,00026,0005,A05,1,ABI1,Sample,1,FITC
A,00027,0005,A05,1,ABI1,Sample,1,TRTC
A,00028,0005,A05,1,ABI1,Sample,2,DAPI
A,00029,0005,A05,1,ABI1,Sample,2,FITC
A,00030,0005,A05,1,ABI1,Sample,2,TRTC
A,00031,0006,A06,1,CYFIP2,Sample,1,DAPI
A,00032,0006,A06,1,CYFIP2,Sample,1,FITC
A,00033,0006,A06,1,CYFIP2,Sample,1,TRTC
A,00034,0006,A06,1,CYFIP2,Sample,2,DAPI
A,00035,0006,A06,1,CYFIP2,Sample,2,FITC
A,00036,0006,A06,1,CYFIP2,Sample,2,TRTC
A,00037,0007,A07,1,ABI2,Sample,1,DAPI
A,00038,0007,A07,1,ABI2,Sample,1,FITC
A,00039,0007,A07,1,ABI2,Sample,1,TRTC
A,00040,0007,A07,1,ABI2,Sample,1,DAPI
A,00041,0007,A07,1,ABI2,Sample,1,FITC
A,00042,0007,A07,1,ABI2,Sample,1,TRTC
A,00043,0008,A08,1,DAAM1,Sample,2,DAPI
A,00044,0008,A08,1,DAAM1,Sample,2,FITC
A,00045,0008,A08,1,DAAM1,Sample,2,TRTC
A,00046,0008,A08,1,DAAM1,Sample,1,DAPI
A,00047,0008,A08,1,DAAM1,Sample,1,FITC
A,00048,0008,A08,1,DAAM1,Sample,1,TRTC
A,00049,0009,A09,1,ABL1,Sample,2,DAPI
A,00050,0009,A09,1,ABL1,Sample,2,FITC
A,00051,0009,A09,1,ABL1,Sample,2,TRTC
A,00052,0009,A09,1,ABL1,Sample,1,DAPI
A,00053,0009,A09,1,ABL1,Sample,1,FITC
A,00054,0009,A09,1,ABL1,Sample,1,TRTC
A,00055,0010,A10,1,DAAM2,Sample,2,DAPI
A,00056,0010,A10,1,DAAM2,Sample,2,FITC
A,00057,0010,A10,1,DAAM2,Sample,2,TRTC
A,00058,0010,A10,1,DAAM2,Sample,1,DAPI
A,00059,0010,A10,1,DAAM2,Sample,1,FITC
A,00060,0010,A10,1,DAAM2,Sample,1,TRTC
A,00061,0011,A11,1,ABLIM1,Sample,2,DAPI
A,00062,0011,A11,1,ABLIM1,Sample,2,FITC
A,00063,0011,A11,1,ABLIM1,Sample,2,TRTC
A,00064,0011,A11,1,ABLIM1,Sample,1,DAPI
