Image_Metadata_Gene,Images,"Total
 Cell Count","Long_projections
 Cell Count","Negative
 Cell Count","p(Enriched)
long_projections","p(Enriched)
negative","Enriched Score
long_projections","Training Total
 Cell Count","Training Long_projections
 Cell Count","Training Negative
 Cell Count"
ABI1,6,64,9,55,0.5546194425856393,0.44538055897924117,0.09526383553953721,0,0,0
ABI2,6,53,3,50,0.25467016073059007,0.7453298180061287,-0.46637044615266987,0,0,0
ABL1,5,39,4,35,0.4301263697715693,0.5698736186259286,-0.12218249264684894,0,0,0
ABLIM1,5,39,5,34,0.5047684923145367,0.4952315155054094,0.008283970756532033,0,0,0
ABLIM3,5,106,15,91,0.5748384517607038,0.4251615502481073,0.13099183112789342,0,0,0
ABR,5,23,4,19,0.5894267245083763,0.4105732720635112,0.157039145383082,0,0,0
ACTA1,6,43,6,37,0.5395018840453364,0.4604981248428093,0.06876510796360857,0,0,0
ACTA2,5,18,1,17,0.3848603887875314,0.615139600970426,-0.20367047957320258,0,0,0
ACTB,4,89,8,81,0.32550070775041734,0.674499309143698,-0.316429561093337,0,0,0
ACTC,6,45,11,34,0.8066248630649974,0.19337513725689678,0.6202709701429988,0,0,0
ACTG1,3,18,2,16,0.47520255674430106,0.5247974319061989,-0.043112941922035075,0,0,0
ACTG2,6,87,10,77,0.44547439438240904,0.5545256011386005,-0.09509885871962254,0,0,0
ACTL6,6,69,8,61,0.45601370767975963,0.5439862878436665,-0.0766100585688067,0,0,0
ACTL7A,3,13,1,12,0.4391378731337412,0.5608621026783546,-0.10625522041487206,0,0,0
ACTL7B,3,22,3,19,0.5183482610279282,0.4816517447937604,0.03188851327147424,0,0,0
ACTN1,4,130,18,112,0.5653565640784711,0.43464343542307876,0.11418931371308502,0,0,0
ACTN2,5,41,7,34,0.6255023393618347,0.3744976602921678,0.22277982913074598,0,0,0
ACTN3,4,53,6,47,0.45262216011410195,0.5473778443924507,-0.08255139845592352,0,0,0
ACTN4,5,53,11,42,0.7491078541557427,0.2508921475952677,0.475057284555057,0,0,0
ACTR10,6,171,16,155,0.2945271649378037,0.7054728280954945,-0.3793549384896496,0,0,0
ACTR1A,6,83,12,71,0.5798851980974532,0.42011480255308475,0.1399740399710596,0,0,0
ACTR1B,6,39,4,35,0.4301263697715693,0.5698736186259286,-0.12218249264684894,0,0,0
ACTR2,4,57,7,50,0.48620809308888535,0.5137919274426348,-0.02396507557607025,0,0,0
ACTR3,4,41,5,36,0.4862725995820802,0.5137274004114113,-0.023852931391580845,0,0,0
ACTR5,12,154,13,141,0.2501060923985109,0.7498939165441291,-0.4768755543050623,0,0,0
ACTR8,6,113,8,105,0.21252989017084958,0.7874700717554274,-0.5688140603757343,0,0,0
ACTRT1,6,112,16,96,0.5833356752122119,0.4166643240643886,0.1461322201779033,0,0,0
ADD1,6,41,10,31,0.7919171264103768,0.2080828741699516,0.5804433985814705,0,0,0
ADD2,5,85,13,72,0.6164138152952473,0.38358618749635703,0.2060094065568867,0,0,0
ADD3,6,42,12,30,0.863168274734544,0.13683172513649966,0.7999086668492879,0,0,0
AFAP,6,92,3,89,0.09860125728853739,0.901398565499826,-0.9610344952022211,0,0,0
AKAP13,6,97,10,87,0.3832029649256855,0.6167970349425198,-0.20671341675527546,0,0,0
ALS2,6,78,4,74,0.18114460587750494,0.8188553601377013,-0.655181808093798,0,0,0
ANLN,5,36,3,33,0.3805964127800979,0.6194036066561546,-0.21150902557313628,0,0,0
ANXA2,3,36,4,32,0.45762374682351337,0.5423762381305366,-0.07379211398817426,0,0,0
ARHE,4,67,13,54,0.7405430001387399,0.25945700036916663,0.45548488922619323,0,0,0
ARHGAP1,6,90,8,82,0.3198805246989381,0.6801194759499073,-0.32759741138016596,0,0,0
ARHGAP11A,5,85,12,73,0.5659804533395488,0.4340195512655245,0.1152921436886106,0,0,0
ARHGAP15,5,58,7,51,0.4781263121256738,0.5218736973420749,-0.03802275656321552,0,0,0
ARHGAP17,6,83,10,73,0.47231484107131344,0.5276851607643863,-0.048143287690162406,0,0,0
ARHGAP18,6,80,10,70,0.4931296074526358,0.5068704006394095,-0.0119358455241928,0,0,0
ARHGAP20,4,58,12,46,0.758741456699846,0.24125854400106828,0.4976111127695943,0,0,0
ARHGAP21,6,102,8,94,0.2588452645521534,0.7411547433627911,-0.45686866359974365,0,0,0
ARHGAP22,6,58,6,52,0.4129262584745495,0.5870737201602246,-0.1528201547483903,0,0,0
ARHGAP23,6,69,6,63,0.3350933188117166,0.6649066847976726,-0.2975949280671901,0,0,0
ARHGAP24,5,69,10,59,0.573892118889705,0.4261078874248404,0.12931069393451217,0,0,0
ARHGAP25,6,70,5,65,0.2711993923532293,0.7288006156578862,-0.42932001394359376,0,0,0
ARHGAP26,6,42,6,36,0.5486770693127206,0.45132293204712937,0.08482941065197169,0,0,0
ARHGAP28,6,64,9,55,0.5546194425856393,0.44538055897924117,0.09526383553953721,0,0,0
ARHGAP4,6,80,14,66,0.6971420588159379,0.30285794095087265,0.3620823189529465,0,0,0
ARHGAP5,6,75,7,68,0.3549549738095479,0.6450450276611138,-0.2594167647189325,0,0,0
ARHGAP6,6,53,8,45,0.5835512958653353,0.41644869927666184,0.14651752278749033,0,0,0
ARHGAP8,6,80,9,71,0.436702974962771,0.5632970355940891,-0.11055130709810004,0,0,0
ARHGAP9,6,75,8,67,0.4132364116894515,0.5867635707138678,-0.15226457408538052,0,0,0
ARHGDIA,5,25,8,17,0.8226196397333364,0.17738036081911857,0.6662935412815503,0,0,0
ARHGDIB,6,81,11,70,0.5410885399276747,0.45891146663624743,0.0715394326597385,0,0,0
ARHGDIG,6,98,12,86,0.4797406836085284,0.5202593220199332,-0.03521331630783653,0,0,0
ARHGEF1,6,85,8,77,0.3488348049385168,0.6511651894151625,-0.27107136926860087,0,0,0
ARHGEF10,6,94,7,87,0.24964026287711086,0.7503597262526064,-0.4779548913483957,0,0,0
ARHGEF11,6,70,15,55,0.8008957848483258,0.19910421542597317,0.6044955535663432,0,0,0
ARHGEF12,6,83,14,69,0.6771842211547485,0.322815778031275,0.3217520758444915,0,0,0
ARHGEF15,6,70,8,62,0.4486743179662898,0.5513256789391264,-0.08947701208853004,0,0,0
ARHGEF16,6,74,12,62,0.6438741565312207,0.35612584150537124,0.25719750311093376,0,0,0
ARHGEF17,6,51,6,45,0.46923032189924696,0.530769676017232,-0.05352003577500797,0,0,0
ARHGEF18,2,34,4,30,0.47661890591765965,0.5233810863202304,-0.04064676531709788,0,0,0
ARHGEF19,4,32,7,25,0.7084913302551917,0.29150866981943685,0.38568306457577073,0,0,0
ARHGEF2,6,70,16,54,0.834449494938754,0.16555050549501435,0.7024695460991927,0,0,0
ARHGEF3,4,71,14,57,0.7563120699778876,0.24368792974734593,0.4918670124460557,0,0,0
ARHGEF4,6,45,10,35,0.7616998417400215,0.2383001597952926,0.5046595345887716,0,0,0
ARHGEF5,6,127,11,116,0.2784744908978746,0.7215255143329826,-0.4134662712730558,0,0,0
ARHGEF6,6,106,9,97,0.28603285602672923,0.7139671436530586,-0.39726230391483397,0,0,0
ARHGEF7,6,49,5,44,0.41681251548877374,0.5831874992321407,-0.14586744433670767,0,0,0
ARHGEF9,2,25,8,17,0.8226196397333364,0.17738036081911857,0.6662935412815503,0,0,0
ARHN,6,173,11,162,0.1359611850149324,0.8640386797932305,-0.803118311446682,0,0,0
ARPC1B,6,38,6,32,0.5861027811358844,0.4138972223506665,0.15108127395419987,0,0,0
ARPC2,3,25,5,20,0.6440093149154202,0.3559906824020059,0.25745351472172784,0,0,0
ARPC3,6,76,12,64,0.6294996803911318,0.3705003173391573,0.23020692698857825,0,0,0
ARPC3B,4,48,7,41,0.5625491607315312,0.43745084227303904,0.10923122701670934,0,0,0
ARPC5,4,54,11,43,0.7417022893232302,0.25829771061566553,0.45810906251149763,0,0,0
ARPC5L,4,62,7,55,0.4466888952071213,0.5533111029415181,-0.09296423052426245,0,0,0
ASPM,4,50,14,36,0.8801049383335725,0.11989506135788704,0.8657331624579179,0,0,0
AVIL,3,54,7,47,0.5109609645501277,0.48903904839106166,0.019044196768955413,0,0,0
AZI1,5,49,6,43,0.486239061492177,0.5137609504010664,-0.023911237077404945,0,0,0
BAF53A,5,40,1,39,0.2088174658201033,0.7911824088499219,-0.5785098704680943,0,0,0
BAIAP2,10,107,22,85,0.8255330008830162,0.17446699907303415,0.6750211478319317,0,0,0
BCR,4,49,10,39,0.730691628222899,0.2693083731768153,0.4334842773257138,0,0,0
BECN1,6,77,15,62,0.7583611805387649,0.2416388193580462,0.49670938866958814,0,0,0
C3ORF10,6,86,17,69,0.7791469610484782,0.2208530393268728,0.5475160015491101,0,0,0
C9ORF100,6,48,13,35,0.8609806140979305,0.13901938625490515,0.7919180072125207,0,0,0
CALD1,6,39,9,30,0.7594069764612205,0.24059302275470648,0.49919155258921205,0,0,0
CAP1,5,64,14,50,0.8005990879953871,0.19940091274338423,0.6036879507186321,0,0,0
CAP2,5,63,7,56,0.43905847019283045,0.5609415149709644,-0.10639523472209467,0,0,0
CAPG,6,95,12,83,0.4989256275615713,0.5010743700103767,-0.001866378958499837,0,0,0
CAPZA1,6,42,5,37,0.47718712366765487,0.5228128882988473,-0.03965755902596363,0,0,0
CAPZA2,6,47,8,39,0.6351213753283522,0.3648786260984615,0.2407083071235262,0,0,0
